age_group,exposure,hospital_days,days_at_risk,inc_rate,irr
0-4,Post-placement,6965,2974004,2.34 (2.29 to 2.40),0.6 (0.5 to 0.6)
0-4,Pre-placement,15334,3660680,4.19 (4.12 to 4.26),0.6 (0.5 to 0.6)
0-1,Post-placement,2101,272528,7.71 (7.38 to 8.05),0.9 (0.9 to 1)
0-1,Pre-placement,8017,970520,8.26 (8.08 to 8.44),0.9 (0.9 to 1)
1-2,Post-placement,2095,490196,4.27 (4.09 to 4.46),0.8 (0.7 to 0.8)
1-2,Pre-placement,4806,855358,5.62 (5.46 to 5.78),0.8 (0.7 to 0.8)
2-3,Post-placement,1163,627053,1.85 (1.75 to 1.96),0.9 (0.8 to 1)
2-3,Pre-placement,1467,718114,2.04 (1.94 to 2.15),0.9 (0.8 to 1)
3-4,Post-placement,864,739395,1.17 (1.09 to 1.25),1.4 (1.3 to 1.6)
3-4,Pre-placement,500,604180,0.83 (0.76 to 0.90),1.4 (1.3 to 1.6)
4-5,Post-placement,742,838105,0.89 (0.82 to 0.95),0.8 (0.7 to 0.9)
4-5,Pre-placement,544,504469,1.08 (0.99 to 1.17),0.8 (0.7 to 0.9)
5-9,Post-placement,2750,4679123,0.59 (0.57 to 0.61),0.6 (0.6 to 0.7)
5-9,Pre-placement,1311,1400738,0.94 (0.89 to 0.99),0.6 (0.6 to 0.7)
5-6,Post-placement,772,922711,0.84 (0.78 to 0.90),0.5 (0.5 to 0.6)
5-6,Pre-placement,679,419347,1.62 (1.50 to 1.75),0.5 (0.5 to 0.6)
6-7,Post-placement,605,965121,0.63 (0.58 to 0.68),0.7 (0.6 to 0.8)
6-7,Pre-placement,298,340287,0.88 (0.78 to 0.98),0.7 (0.6 to 0.8)
7-8,Post-placement,584,961166,0.61 (0.56 to 0.66),1.5 (1.2 to 1.8)
7-8,Pre-placement,110,267151,0.41 (0.34 to 0.50),1.5 (1.2 to 1.8)
8-9,Post-placement,413,931397,0.44 (0.40 to 0.49),0.6 (0.5 to 0.8)
8-9,Pre-placement,146,209812,0.70 (0.59 to 0.82),0.6 (0.5 to 0.8)
9-10,Post-placement,376,888343,0.42 (0.38 to 0.47),0.9 (0.7 to 1.1)
9-10,Pre-placement,78,161117,0.48 (0.38 to 0.60),0.9 (0.7 to 1.1)
10-14,Post-placement,1948,3447729,0.57 (0.54 to 0.59),0.8 (0.6 to 0.9)
10-14,Pre-placement,186,247113,0.75 (0.65 to 0.87),0.8 (0.6 to 0.9)
10-11,Post-placement,459,845725,0.54 (0.49 to 0.59),1 (0.7 to 1.3)
10-11,Pre-placement,63,112594,0.56 (0.43 to 0.72),1 (0.7 to 1.3)
11-12,Post-placement,345,778085,0.44 (0.40 to 0.49),0.8 (0.6 to 1.2)
11-12,Pre-placement,39,72019,0.54 (0.39 to 0.74),0.8 (0.6 to 1.2)
12-13,Post-placement,363,696537,0.52 (0.47 to 0.58),1.9 (1.1 to 3.9)
12-13,Pre-placement,11,41141,0.27 (0.13 to 0.48),1.9 (1.1 to 3.9)
13-14,Post-placement,217,606461,0.36 (0.31 to 0.41),0.1 (0.1 to 0.1)
13-14,Pre-placement,67,16939,3.96 (3.07 to 5.02),0.1 (0.1 to 0.1)
14-15,Post-placement,564,513322,1.10 (1.01 to 1.19),0.7 (0.3 to 2)
14-15,Pre-placement,6,3921,1.53 (0.56 to 3.33),0.7 (0.3 to 2)
All ages,Post-placement,11663,11100856,1.05 (1.03 to 1.07),0.3 (0.3 to 0.3)
All ages,Pre-placement,16831,5308531,3.17 (3.12 to 3.22),0.3 (0.3 to 0.3)
